"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Chat","ChatBot","","0","11","0","0","0"
"Chat","Chat","","0","11","0","0","0"
"","","","0","7","0","0","0"
"Tests For Search Articles in Feed","Search","","0","2","0","0","0"
"Tests For Search Articles in Feed","Feed","","0","2","0","0","0"
"The Coach authorization","Start screen","","0","0","1","0","0"
"The Coach authorization","Authorization","","0","0","1","0","0"
"Profile","Program","","0","1","2","0","0"
"Profile","Tracks","","0","1","2","0","0"
"The Coach Profile","Profile","","0","0","1","0","0"
"The Coach Profile","Authorization","","0","0","1","0","0"
"The Coach current iOS flow","Feed","","0","1","0","0","0"
"The Coach current iOS flow","Profile","","0","1","0","0","0"
"The Coach current iOS flow","Start screen","","0","1","0","0","0"
