"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"8","The Coach Profile","0","Profile","1","0","","0"
"1","The Coach Profile","0","Terms","0","0","","0"
"0","The Coach Daily Plan","0","Daily Plan","2","3","","0"
"0","The Coach Daily Plan","0","Program arrows","1","0","","0"
"7","","0","","0","0","","0"
"1","Profile","0","Program","2","0","","0"
"1","Profile","0","Tracks","2","0","","0"
"11","Chat","0","ChatBot","0","0","","0"
"11","Chat","0","Chat","0","0","","0"
"0","The Coach authorization","0","Authorization","6","0","","0"
"0","The Coach authorization","0","OTP","2","0","","0"
"0","The Coach authorization","0","Existing user progress","1","0","","0"
"0","The Coach PDF Guides","0","Profile","1","0","","0"
"0","The Coach PDF Guides","0","PDF Guides","1","0","","0"
"1","The Coach Profile","0","Navigation","0","0","","0"
"0","The Coach authorization","0","Start screen","2","0","","0"
"0","The Coach Daily Plan","0","Daily Plan customization","0","1","","0"
"1","The Coach Profile","0","Account safety","0","0","","0"
"0","The Coach male build","0","Male start screen","2","0","","0"
"0","The Coach male build","0","Legal links","1","0","","0"
"0","The Coach male build","0","Onboarding entry","1","0","","0"
"1","The Coach Profile","0","FAQ","0","0","","0"
"2","Tests For Search Articles in Feed","0","Search","0","0","","0"
"2","Tests For Search Articles in Feed","0","Feed","0","0","","0"
"1","The Coach Profile","0","Support","0","0","","0"
"0","The Coach Push notifications","0","Push","0","1","","0"
"0","The Coach Push notifications","0","Permissions","0","1","","0"
"0","The Coach Daily Plan","0","Daily Practice","1","1","","0"
"0","The Coach Daily Plan","0","Exercises","0","1","","0"
"2","The Coach Profile","0","Authorization","1","0","","0"
"0","The Coach authorization","0","Email validation","1","0","","0"
"1","The Coach Profile","0","Account Settings","0","0","","0"
"0","The Coach Daily Plan","0","Daily Lessons","0","1","","0"
"0","The Coach Kegel exercises","0","Daily Plan","1","0","","0"
"0","The Coach Kegel exercises","0","Kegel exercises","1","0","","0"
"0","The Coach Kegel exercises","0","Exercise player","1","0","","0"
"0","The Coach male build","0","Authorization","1","0","","0"
"1","The Coach current iOS flow","0","Feed","0","0","","0"
"1","The Coach current iOS flow","0","Profile","0","0","","0"
"1","The Coach current iOS flow","0","Start screen","0","0","","0"
